root,root2,category,definition,1970.f,1970.s,1980.f,1980.s,1990.f,1990.s,2000.f,2000.s,2010.f,2010.s
pcol,pcol,Education,percentage of persons with at least a four-year college degree,,,,,,,,,,pcol12
pcuban,pcuban,Ethnicity,percentage of Cubans,,,,,,,,,,pcuban12
pfb,pfb,Immigrant,percentage of foreign-born,,,,,,,,,,pfb12
pfhh,pfhh,Female_Labor,percentage of female-headed families with children,,,,,,,,,,pfhh12
pfilip,pfilip,Ethnicity,percentage of persons of Filipino race,,,,,,,,,,pfilip12
pflabf,pflabf,Female_Labor,percentage of females in labor force,,,,,,,,,,pflabf12
pfmpov,pfmpov,Poverty,percentage of families with children in poverty,,,,,,,,,,pfmpov12
pgeanc,pgeanc,Ethnicity,percentage of persons of German parentage or ancestry,,,,,,,,,,pgeanc12
pgefb,pgefb,Immigrant,percentage of persons who were born in Germany,,,,,,,,,,pgefb12
phaw,phaw,Ethnicity,percentage of persons of Hawaiian race,,,,,,,,,,phaw12
phisp,phisp,Ethnicity,percentage of persons of Hispanic origin,,,,,,,,,,phisp12
phpov,phpov,Poverty,percentage of Hispanics in poverty,,,,,,,,,,phpov12
phs,phs,Education,percentage of persons with high school degree or less,,,,,,,,,,phs12
pindia,pindia,Ethnicity,percentage of persons of Asian Indian race,,,,,,,,,,pindia12
piranc,piranc,Ethnicity,percentage of persons of Italian parentage or ancestry,,,,,,,,,,piranc12
pirfb,pirfb,Immigrant,percentage of persons who were born in Ireland,,,,,,,,,,pirfb12
pitanc,pitanc,Ethnicity,percentage of persons of Italian parentage or ancestry,,,,,,,,,,pitanc12
pitfb,pitfb,Immigrant,percentage of persons who were born in Italy,,,,,,,,,,pitfb12
pjapan,pjapan,Ethnicity,percentage of persons of Japanese race,,,,,,,,,,pjapan12
pkorea,pkorea,Ethnicity,percentage of persons of Korean race,,,,,,,,,,pkorea12
plep,plep,Language,percentage of persons who speak English not well,,,,,,,,,,plep12
pmanuf,pmanuf,Labor Force,percentage of manufacturing employees (by industries),,,,,,,,,,pmanuf12
pmar,pmar,Family,percent currently married (excluding separated),,,,,,,,,,pmar12
pmex,pmex,Ethnicity,percentage of Mexicans,,,,,,,,,,pmex12
pmulti,pmulti,Housing,percentage of housing units in multi-unit structures,,,,,,,,,,pmulti12
pnapov,pnapov,Poverty,percentage of Native Americans in poverty,,,,,,,,,,pnapov12
pnat,pnat,Immigrant,percentage of naturalized foreign-born,,,,,,,,,,pnat12
pnhblk,pnhblk,Race,"percentage of persons of black race, not Hispanic origin",,,,,,,,,,pnhblk12
pnhwht,pnhwht,Race,"percentage of persons of white race, not Hispanic origin",,,,,,,,,,pnhwht12
pntv,pntv,Ethnicity,percentage of persons of Native American race,,,,,,,,,,pntv12
polang,polang,Language,percentage of persons who speak language other than English at home,,,,,,,,,,polang12
pop,pop,Family,total population,POP70,,POP80,,POP90,,POP00,,pop10,pop12
pop,popsf3,No Definition,,,,,pop80sf3,,POP90SF3,,POP00SF3,,
pop,popsf4,No Definition,,,,,pop80sf4,,POP90SF4,,,,
pop,popsp1,No Definition,,,POP70SP1,,,,,,,,
pop,popsp2,No Definition,,,POP70SP2,,,,,,,,
pown,pown,Housing,percentage of owner-occupied housing units,,,,,,,,,,pown12
ppov,ppov,Poverty,percent poor,,,,,,,,,,ppov12
ppr,ppr,Ethnicity,percentage of Puerto Ricans,,,,,,,,,,ppr12
pprof,pprof,Labor Force,percentage of professional employees (by occupations),,,,,,,,,,pprof12
pr,pr,Ethnicity,Puerto Ricans,,PR70,PR80,,PR90,,PR00,,pr10,pr12
prof,prof,Labor Force,professional employees (by occupations),,PROF70,,prof80,,PROF90,,PROF00,,prof12
pruanc,pruanc,Ethnicity,percentage of persons of Russian/USSR parentage or ancestry,,,,,,,,,,pruanc12
prufb,prufb,Immigrant,percentage of persons who were born in Russia/ USSR,,,,,,,,,,prufb12
pscanc,pscanc,Ethnicity,"percentage of persons of Scandinavian parentage/ancestry (Finnish, Swedish, Danish, Norwegian)",,,,,,,,,,pscanc12
pscfb,pscfb,Immigrant,"percentage of persons who were born in Scandinavian Countries (Swedish, Norwegian, Finnish, Danish)",,,,,,,,,,pscfb12
psemp,psemp,Labor Force,percentage of self-employed,,,,,,,,,,psemp12
punemp,punemp,Labor Force,percent unemployed,,,,,,,,,,punemp12
pvac,pvac,Housing,percentage of vacant housing units,,,,,,,,,,pvac12
pvet,pvet,Labor Force,percentage of veterans,,,,,,,,,,pvet12
pviet,pviet,Ethnicity,percentage of persons of Vietnamese race,,,,,,,,,,pviet12
pwds,pwds,Family,"percent widowed, divorced, and separated",,,,,,,,,,pwds12
pwpov,pwpov,Poverty,percentage of whites in poverty,,,,,,,,,,pwpov12
rent,rent,Housing,renter-occupied housing units,RENT70,,RENT80,,RENT90,,RENT00,,rent10,rent12
ruanc,ruanc,Ethnicity,persons of Russian/USSR parentage or ancestry,,RUANC70,,ruanc80,,RUANC90,,RUANC00,,ruanc12
rufb,rufb,Immigrant,persons who were born in Russia/ USSR,,RUFB70,,rufb80,,RUFB90,,RUFB00,,rufb12
scanc,scanc,Ethnicity,"persons of Scandinavian parentage/ancestry (Finnish, Swedish, Danish, Norwegian)",,SCANC70,,scanc80,,SCANC90,,SCANC00,,scanc12
scfb,scfb,Immigrant,"persons who were born in Scandinavian Countries (Swedish, Norwegian, Finnish, Danish)",,SCFB70,,scfb80,,SCFB90,,SCFB00,,scfb12
semp,semp,Labor Force,self-employed,,SEMP70,,semp80,,SEMP90,,SEMP00,,semp12
unemp,unemp,Labor Force,unemployed,,UNEMP70,,unemp80,,UNEMP90,,UNEMP00,,unemp12
vac,vac,Housing,vacant housing units,VAC70,,VAC80,,VAC90,,VAC00,,vac10,vac12
vet,vet,Labor Force,veterans,,VET70,,vet80,,VET90,,VET00,,vet12
viet,viet,Ethnicity,persons of Vietnamese race,,,VIET80,,VIET90,,VIET00,,viet10,viet12
wds,wds,Family,"widowed, divorced, and separated",WDS70,,WDS80,,WDS90,,,WDS00,,wds12
white,white,Race,persons of white race,WHITE70,,,,,,,,,
